Time,Left Shoulder,Right Shoulder,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
3.3952689170837402,"[-7.335671688367597, 1.1617357504812844, 160.78720474779902]","[7.335671688367597, -1.161735750481057, -160.78720474779914]","[555.7121611400415, 126.12787585130195, 89.05285627869057]","[569.8581444962135, 165.18038249770484, -121.95084492342937]","[843.6121609007937, 357.621648623689, 101.36623014720533]","[821.8957644908978, 360.76123346494796, -139.13293002800935]","[555.7121611400415, 126.12787585130195, 89.05285627869057]","[569.8581444962135, 165.18038249770484, -121.95084492342937]"
3.4490129947662354,"[298.28047832321323, 515.3900764876255, -206.1893354760558]","[-298.28047832321323, -515.3900764876255, 206.1893354760558]","[240.0081026109811, -408.03888722072554, 464.8475041683622]","[254.77127929184363, -379.29951145740154, 256.05620664662933]","[527.6545438078766, -178.82176549276392, 476.9050318602357]","[510.0725763713177, -173.93094662618842, 233.70585577249003]","[240.0081026109811, -408.03888722072554, 464.8475041683622]","[254.77127929184363, -379.29951145740154, 256.05620664662933]"
3.4986939430236816,"[-20.809457443203655, -23.887918438507995, 180.24284047200524]","[20.809457443203655, 23.887918438508223, -180.24284047200535]","[555.2377278797728, 120.04852625127694, 82.3910369660905]","[570.3386829038528, 159.36043239917421, -131.7489616018417]","[838.6926321592471, 358.75106287312667, 84.35832521417387]","[824.0688849182377, 360.2890451008865, -151.94588445297973]","[555.2377278797728, 120.04852625127694, 82.3910369660905]","[570.3386829038528, 159.36043239917421, -131.7489616018417]"
3.5510671138763428,"[-19.424803893219178, -20.432302311630565, 184.14863564329733]","[19.424803893219064, 20.432302311630337, -184.14863564329744]","[562.921236783549, 131.3211924996616, 71.03683143274407]","[578.1214221152788, 163.50739846875263, -140.12316512834565]","[844.5276110255062, 362.06618846005097, 79.78791162020332]","[831.116029877204, 363.549528162, -157.4214060488846]","[562.921236783549, 131.3211924996616, 71.03683143274407]","[578.1214221152788, 163.50739846875263, -140.12316512834565]"
3.5982680320739746,"[-14.11503237044883, -13.485423019945074, 179.73937123644657]","[14.115032370448944, 13.485423019944847, -179.73937123644652]","[560.0163553910604, 123.11219507666135, 74.41546495078296]","[574.4051782907981, 161.7140766576441, -141.23954963487142]","[835.6113063228114, 358.30206178997446, 78.4120085631829]","[821.2490436627493, 360.2870091324223, -159.39677406108103]","[560.0163553910604, 123.11219507666135, 74.41546495078296]","[574.4051782907981, 161.7140766576441, -141.23954963487142]"
3.6564900875091553,"[-16.790862706347525, -18.603256952822903, 183.18998991305818]","[16.79086270634764, 18.603256952822903, -183.18998991305818]","[556.7832961327568, 115.15001636528223, 74.5654699036387]","[568.8125169288512, 148.58905342057392, -140.49031154923188]","[832.3476659325452, 363.2279445052127, 68.92212477537669]","[812.3452770066342, 359.2396279972552, -163.4684838924017]","[556.7832961327568, 115.15001636528223, 74.5654699036387]","[568.8125169288512, 148.58905342057392, -140.49031154923188]"
3.710103988647461,"[-21.60787051813452, -28.28183383254168, 189.1930558118288]","[21.60787051813452, 28.28183383254145, -189.1930558118289]","[554.3998941536639, 114.39593939702706, 71.84221661845231]","[566.1226894807634, 150.90669871118462, -145.62601253198028]","[831.0146144685392, 351.9343522324557, 69.58757988983814]","[810.2597958058873, 361.55254682647194, -168.76300452588748]","[554.3998941536639, 114.39593939702706, 71.84221661845231]","[566.1226894807634, 150.90669871118462, -145.62601253198028]"
3.7606959342956543,"[-10.36578783877394, -10.94707350669205, 180.55622996648628]","[10.36578783877394, 10.947073506692277, -180.55622996648617]","[546.2098818004442, 103.04724277906337, 77.34499653581076]","[557.0601258452508, 136.64185005147328, -139.55753817574214]","[820.3749034143902, 341.83231554217866, 73.37773076231565]","[800.5936559447582, 344.7451508330911, -160.93495176082268]","[546.2098818004442, 103.04724277906337, 77.34499653581076]","[557.0601258452508, 136.64185005147328, -139.55753817574214]"
3.8132340908050537,"[-10.333167800137176, -10.392623421870894, 186.6516623290173]","[10.33316780013729, 10.392623421871122, -186.65166232901743]","[557.0773095639405, 118.64350894151937, 64.90361386167513]","[567.3680952815289, 154.4850852088216, -155.96664128223205]","[828.0376739621645, 364.62771801195913, 50.81623567895065]","[808.5506237855028, 365.9110342017241, -177.6297333722759]","[557.0773095639405, 118.64350894151937, 64.90361386167513]","[567.3680952815289, 154.4850852088216, -155.96664128223205]"
3.8751261234283447,"[-16.896286041833037, -21.941070470722025, 191.69736134324296]","[16.896286041833037, 21.941070470722252, -191.69736134324296]","[551.8674341245058, 107.89702430263753, 67.14450661142314]","[562.7632333296247, 157.224294371754, -160.4726181375264]","[822.1722302844558, 348.929501176858, 58.760466038468735]","[800.9401337473797, 356.7250003246829, -174.66627563457695]","[551.8674341245058, 107.89702430263753, 67.14450661142314]","[562.7632333296247, 157.224294371754, -160.4726181375264]"
3.925462007522583,"[-16.968009630745428, -21.58683165997786, 191.1539430876163]","[16.968009630745314, 21.58683165997786, -191.1539430876163]","[551.1890207750436, 108.79280154377795, 65.53119298676017]","[560.484220224077, 141.06711994957698, -153.52817133466561]","[821.0952073671419, 346.6621200646006, 57.48868679673831]","[799.8808529957762, 354.3492250443178, -173.82198709653971]","[551.1890207750436, 108.79280154377795, 65.53119298676017]","[560.484220224077, 141.06711994957698, -153.52817133466561]"
3.9761240482330322,"[-18.527118982228558, -24.21174559352994, 193.67642560723084]","[18.527118982228558, 24.21174559352994, -193.6764256072309]","[553.3104856927426, 108.85875753517439, 62.44927179972103]","[561.4001438494734, 128.21311315708613, -148.95532916026997]","[821.6675124951952, 352.6015827038383, 52.67785212732804]","[801.7709905162637, 358.41569521405245, -180.03390823739028]","[553.3104856927426, 108.85875753517439, 62.44927179972103]","[561.4001438494734, 128.21311315708613, -148.95532916026997]"
4.030577898025513,"[-15.549516346065388, -19.642045543825134, 189.7883546427106]","[15.549516346065388, 19.64204554382536, -189.7883546427106]","[553.264118142511, 107.94929364403811, 58.789736115474966]","[560.2728251527859, 143.37135143420085, -156.7938829029817]","[819.7673163534282, 353.9699005104794, 53.533542100476666]","[799.1762890170671, 359.1836737555733, -180.705008654663]","[553.264118142511, 107.94929364403811, 58.789736115474966]","[560.2728251527859, 143.37135143420085, -156.7938829029817]"
